ID,Condition,DV
1,A,9.219099052588371
1,B,11.948778831398124
1,C,11.361048740220758
2,A,6.985999506982734
2,B,7.920854257917112
2,C,11.460171900195785
3,A,10.966503111568835
3,B,26.591449531145763
3,C,25.280850309365277
4,A,15.08302394860242
4,B,14.81992262473943
4,C,20.972539084381424
5,A,4.332836599666227
5,B,16.0864569584285
5,C,13.309051860916483
6,A,18.90858870954668
6,B,21.723917074681133
6,C,23.39315058704759
7,A,5.029249411947215
7,B,13.723965784717763
7,C,15.865426834114796
8,A,8.737211525962621
8,B,17.321471415067737
8,C,20.627487372321504
9,A,11.192219077353169
9,B,9.048479666503843
9,C,20.14374805167836
10,A,17.18246722130303
10,B,16.58225898847098
10,C,24.730625039446878
11,A,16.169404846480525
11,B,21.113880798971127
11,C,30.945703188513477
12,A,8.85687842785593
12,B,14.226311553488125
12,C,18.324932514991644
13,A,8.201490374854771
13,B,8.284955501369748
13,C,18.364921464088688
14,A,2.6554659882153078
14,B,9.647084534181843
14,C,8.968384531289047
15,A,1.0426721972676711
15,B,9.192169969600595
15,C,7.517792868698073
16,A,8.406604908003429
16,B,9.967826710505364
16,C,21.17670249590924
17,A,19.430288687868714
17,B,21.512274481364877
17,C,26.47591838086817
18,A,11.18567418091267
18,B,11.192666287476081
18,C,17.319041611809247
19,A,6.649125650894851
19,B,13.183378957344331
19,C,14.143715922644429
20,A,16.414253491521244
20,B,26.372709926739397
20,C,22.330687995727693
