x_1,x_2,y
1.8834840906561965,A,4
4.2145939059542705,B,1
1.4715756326399871,C,0
2.0161232503805793,C,1
2.152804042874701,B,1
1.890031276553646,A,7
3.570490189773161,B,2
2.2505013608086792,C,2
3.833657441820926,A,13
0.9695464330984311,C,1
3.220087277234665,C,3
1.16557438206317,A,3
2.3803227456375002,A,6
2.064467802124794,C,3
1.3826023048481453,B,0
1.9536301030027665,A,6
1.7791535474482902,B,0
2.6751070498670693,A,6
0.9411812988817576,C,0
2.952123663109745,B,4
1.857016938546688,B,0
1.780174744602895,A,8
1.2051498992283665,C,0
0.9442083716070886,A,3
2.8757332842679,B,1
4.130132273792193,B,1
2.302632879726661,C,0
1.6540487712168908,C,1
1.7123900642889613,B,0
3.0041942982943857,C,3
0.5365969556191095,A,3
0.9520180687478432,B,0
-0.3400050399920773,A,0
2.1579809811751627,C,1
2.873415162870624,B,1
1.8648976632823242,C,0
1.127779318082614,A,1
0.3395514895418854,A,7
2.4453004614785563,B,2
0.6939795731126628,B,0
3.038512739828535,B,0
2.904726362920407,A,8
2.6221565731404866,C,1
1.096148305535972,C,0
1.7236600413045662,B,1
2.5356823451765518,A,7
1.7397246179174706,A,4
0.8476004705851519,C,0
3.0449098101365975,B,1
1.992330692970056,A,6
3.2699853930105425,A,6
2.931720680826852,A,7
2.2743898547968437,C,1
2.9338379438271396,C,2
0.2938169159020063,B,1
2.737677125213576,C,2
2.0096356942519913,A,7
3.1938824995459876,A,6
1.5083840216985276,B,0
1.4936456247825838,B,0
1.3946057750066911,B,1
1.105146946890105,C,0
0.30116739898503875,C,0
1.5593188243037737,C,0
-0.43886111916510684,B,0
-0.2869080950056899,C,0
2.053905393456301,A,4
3.6904387713942786,A,11
2.0476261111168794,C,0
2.3788042819792,C,0
2.3569998943388555,A,3
2.3188827154709855,A,7
2.513325144385348,C,1
2.4158067920829365,C,2
1.6390593730033458,C,1
1.4191099378661522,C,2
3.1135347141738197,A,5
2.152009796709166,A,9
1.5406938334628806,B,1
3.595207833179426,C,0
1.1475729677047948,C,1
0.9767329683234718,A,2
0.7598809072274781,B,0
1.7841157743944378,B,2
1.6794279022854985,C,1
2.0915281302686397,A,3
1.4018434926344463,B,1
-0.4331279854649921,B,0
2.9009729351500297,A,5
2.941555882618101,A,7
2.09972230663168,A,2
1.6803181209267117,A,5
2.1214056110979436,B,2
0.3227226430505066,B,1
2.7126529350858273,B,1
1.1550941180530132,B,2
2.319867762829251,C,0
0.8964084905553307,A,3
1.2021184108863507,B,2
1.4647292491551465,B,2
3.69693754929112,A,9
2.52964530974261,A,3
2.248560878539076,B,1
2.4156982502489854,B,1
2.7210885297451624,A,8
1.2258172210306095,C,1
1.6319641071022895,C,0
1.5182461851623459,B,0
0.06961917398589268,B,1
2.983565517560933,B,1
1.7734180673319673,B,1
1.3552858619888082,A,4
0.08446097103706185,C,0
0.434489890169937,B,0
1.1344306122510117,B,0
0.2837047401757318,A,1
0.4004356842045802,A,2
2.8728252570492607,C,1
1.8342069261829528,C,1
1.9900600531230626,B,0
2.2898196220652998,C,1
1.0374707273238646,B,1
0.8010164086248768,A,3
1.836857590408467,A,1
2.560358221900661,A,1
-1.0418341611546884,C,0
1.530665900952342,A,4
2.390843482608178,C,1
3.0563222077031718,A,8
1.8820386251603083,C,1
1.8077522758341664,A,3
1.9786150864388763,C,0
1.7032219791747656,A,5
0.9843626823275426,C,0
2.0983708045606044,A,3
0.7769130117498937,C,0
1.5815307143088941,B,0
0.4039767410382593,C,0
2.363559475026048,B,0
0.21733037992010762,A,2
2.4519589461038054,C,3
3.2947432456654573,A,9
1.405412100354533,C,1
0.9614939676334322,A,2
2.5416221055700783,A,5
0.6914011471447019,B,0
1.1563317271094615,A,2
1.4351191226706788,A,5
0.5640436343543893,A,2
0.7315437383602592,B,0
1.1898254394713013,A,3
1.5760689581921605,C,5
0.5522154190980162,A,1
2.0906231916792843,B,1
2.9599656534040704,C,0
0.027000279735854615,A,1
3.898809154132122,A,10
1.8603202351458372,B,3
1.3758713971680965,C,1
2.8604245921589606,B,0
2.0062959837627816,C,1
2.448623362040343,C,0
3.3514145594663147,C,3
2.9254088011284294,B,1
3.165356683012331,A,12
3.4670295471013253,C,0
2.969630575077757,B,0
2.467734748383715,A,5
0.9603920598822169,A,6
2.0763496982629697,B,4
1.6870644752397665,C,0
0.6049025393181042,A,3
3.260346936650598,A,6
1.753947984073281,B,2
1.6572804007891917,C,0
1.0061702242702373,A,5
1.6548365874218376,B,0
3.247038946026593,B,2
0.1395163156571806,C,0
0.8613415212305866,B,0
1.6389776360231552,B,1
1.4402747682676043,A,4
1.2844771212460708,A,7
3.3768735650825885,A,12
0.908987414670299,A,1
3.601371084218529,B,1
1.7250233808344624,B,2
2.1701749114843767,A,2
2.4421354385162912,B,3
3.127363565162428,A,6
2.519151201305903,B,2
2.7312921628964903,C,0
2.0415431944856306,B,0
3.185244210887249,A,6
1.9382248072933697,C,2
2.7939118793572364,C,3
3.312274877805301,B,2
2.8294417287807345,A,8
1.6941743113424228,C,2
-0.27621256225814195,B,0
3.010424792087098,A,8
1.4187469269815258,B,0
0.8744726797437339,A,0
2.7600317609182152,A,11
1.8287143843198777,A,6
2.4190602556556677,A,8
3.068407540267854,B,1
1.7013349880582886,B,1
2.538077594130085,A,9
0.7142324592318607,A,2
2.786538503843124,B,3
1.6488579665385372,B,0
4.352148744614269,C,4
1.826746779868965,A,6
2.8474952958055564,B,0
0.06799658122898578,B,1
2.530475543188116,C,1
2.304583571705935,A,6
3.449715605788553,C,1
2.4606989426937185,C,1
3.00299772255367,B,0
2.9061256784280145,C,2
1.5074953000269562,C,0
0.6286816510719506,A,6
2.981914898050299,B,3
3.0647823920450996,A,2
2.379769992145711,C,0
0.4891273584144973,A,2
2.2425963090337406,A,14
2.435316618914746,C,3
2.053801298001249,B,0
-0.2586103550891852,A,1
1.5927583020141234,B,2
1.2768315238723864,A,0
1.927849804330293,B,0
0.8604586063595874,A,3
1.7393779280662227,C,0
0.8163224937756619,A,3
2.4755083359300705,A,10
0.8280727443709552,A,2
0.4283699656795148,C,0
1.7769205180302923,B,0
1.2172123851869951,B,1
2.2715307970972676,B,2
0.8291087973110263,B,1
3.694392958952195,A,12
1.111314370140176,A,2
2.115840249931948,C,0
1.5179315594629554,C,1
1.667664376499336,A,7
1.769047467630984,B,1
1.6498260916603933,C,1
0.3855161947414474,B,0
2.953448015043095,A,8
