group,score
group_1,95.96059519801868
group_0,70.43464577536935
group_1,138.559377873254
group_0,102.00638176435156
group_1,129.4755706365541
group_1,108.16006401723914
group_1,118.9231463154491
group_1,78.94849619175574
group_0,107.71659798556709
group_0,73.829572498007
group_1,124.47491164554138
group_0,108.55155347121365
group_0,96.89772103304593
group_1,96.62305690405911
group_0,110.09663876791186
group_0,100.80394401489703
group_1,87.67740727098115
group_0,100.59870671650674
group_0,97.12878650277555
group_0,95.54140890362706
group_0,64.82271184938043
group_1,110.29905377525303
group_0,116.4987582230437
group_0,93.49771705888347
group_0,114.23954731376294
group_1,91.25215672618953
group_0,85.97453648864254
group_1,125.13364843635429
group_1,103.00162688441556
group_1,109.84879251257654
group_1,110.34189732009413
group_0,102.72445748032567
group_0,83.14178311290054
group_1,123.54161292649525
group_1,98.97289587453024
group_0,103.93098860436291
group_0,80.53748858989893
group_0,87.35595639785582
group_1,118.10344525952044
group_1,89.73155975500782
group_1,111.50550397193577
group_1,99.31161298444543
group_1,135.3559919114648
group_0,101.26771726780846
group_0,91.67764623528927
group_1,106.49586573280574
group_1,116.88119061720832
group_0,86.91615115002539
group_0,97.5480277716912
group_0,78.06394769594607
